x,y,ppscore,case,is_valid_score
DX_GROUP,DX_GROUP,1.0,predict_itself,True
DX_GROUP,ADI_R_SOCIAL_TOTAL_A,0.1015753268173466,regression,True
DX_GROUP,ADI_R_VERBAL_TOTAL_BV,0.12210316131181098,regression,True
DX_GROUP,ADI_RRB_TOTAL_C,0.0736830086513871,regression,True
DX_GROUP,ADI_R_RSRCH_RELIABLE,0.4898155776603921,regression,True
DX_GROUP,ADOS_MODULE,0.13944431734698814,regression,True
DX_GROUP,ADOS_TOTAL,0.0,regression,True
DX_GROUP,ADOS_COMM,0.0,regression,True
DX_GROUP,ADOS_SOCIAL,0.0,regression,True
DX_GROUP,ADOS_RSRCH_RELIABLE,0.5444190852961803,regression,True
DX_GROUP,SRS_RAW_TOTAL,0.4940461459136397,regression,True
DX_GROUP,AGE_AT_SCAN,0.0,regression,True
DX_GROUP,SEX,0.0,regression,True
DX_GROUP,EYE_STATUS_AT_SCAN,0.0,regression,True
DX_GROUP,SUB_IN_SMP,0.0,regression,True
DX_GROUP,FIQ,0.019574506157309268,regression,True
DX_GROUP,VIQ,0.01871341671387683,regression,True
DX_GROUP,PIQ,0.004655428373424919,regression,True
DX_GROUP,anat_cnr,0.0,regression,True
DX_GROUP,anat_efc,0.0,regression,True
DX_GROUP,anat_fber,0.0,regression,True
DX_GROUP,anat_fwhm,0.0,regression,True
DX_GROUP,anat_qi1,0.0,regression,True
DX_GROUP,anat_snr,0.0,regression,True
DX_GROUP,func_efc,0.0,regression,True
DX_GROUP,func_fber,0.0,regression,True
DX_GROUP,func_fwhm,0.0,regression,True
DX_GROUP,func_dvars,0.0,regression,True
DX_GROUP,func_outlier,0.0,regression,True
DX_GROUP,func_quality,0.0,regression,True
DX_GROUP,func_mean_fd,0.0,regression,True
DX_GROUP,func_num_fd,0.0,regression,True
DX_GROUP,func_perc_fd,0.0,regression,True
DX_GROUP,func_gsr,0.0,regression,True
DX_GROUP,HANDEDNESS_CATEGORY,5.582239925004936e-06,classification,True
DX_GROUP,SITE_ID,0.0,classification,True
DX_GROUP,FIQ_TEST_TYPE,0.0,classification,True
DX_GROUP,VIQ_TEST_TYPE,2.3715793277175385e-06,classification,True
DX_GROUP,PIQ_TEST_TYPE,0.0,classification,True
DX_GROUP,CURRENT_MED_STATUS,4.064497515213791e-06,classification,True
DX_GROUP,qc_rater_1,4.665487312786822e-06,classification,True
DX_GROUP,qc_anat_rater_2,3.722192612763175e-06,classification,True
DX_GROUP,qc_func_rater_2,3.5177435034968235e-06,classification,True
DX_GROUP,qc_anat_rater_3,0.0,classification,True
DX_GROUP,qc_func_rater_3,0.0,classification,True
DX_GROUP,ID,0.0,regression,True
DX_GROUP,FILE_ID,0.0,classification,True
ADI_R_SOCIAL_TOTAL_A,DX_GROUP,0.9276437847866419,regression,True
ADI_R_SOCIAL_TOTAL_A,ADI_R_SOCIAL_TOTAL_A,1.0,predict_itself,True
ADI_R_SOCIAL_TOTAL_A,ADI_R_VERBAL_TOTAL_BV,0.47800974910182525,regression,True
ADI_R_SOCIAL_TOTAL_A,ADI_RRB_TOTAL_C,0.12244700659586294,regression,True
ADI_R_SOCIAL_TOTAL_A,ADI_R_RSRCH_RELIABLE,0.5459035076924579,regression,True
ADI_R_SOCIAL_TOTAL_A,ADOS_MODULE,0.1629124622752708,regression,True
ADI_R_SOCIAL_TOTAL_A,ADOS_TOTAL,0.07663750185740148,regression,True
ADI_R_SOCIAL_TOTAL_A,ADOS_COMM,0.03261281690574236,regression,True
ADI_R_SOCIAL_TOTAL_A,ADOS_SOCIAL,0.0472758765291712,regression,True
ADI_R_SOCIAL_TOTAL_A,ADOS_RSRCH_RELIABLE,0.6170723275697749,regression,True
ADI_R_SOCIAL_TOTAL_A,SRS_RAW_TOTAL,0.5626887318458396,regression,True
ADI_R_SOCIAL_TOTAL_A,AGE_AT_SCAN,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,SEX,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,EYE_STATUS_AT_SCAN,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,SUB_IN_SMP,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,FIQ,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,VIQ,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,PIQ,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,anat_cnr,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,anat_efc,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,anat_fber,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,anat_fwhm,0.03327678418872426,regression,True
ADI_R_SOCIAL_TOTAL_A,anat_qi1,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,anat_snr,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_efc,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_fber,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_fwhm,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_dvars,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_outlier,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_quality,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_mean_fd,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_num_fd,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_perc_fd,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,func_gsr,0.0,regression,True
ADI_R_SOCIAL_TOTAL_A,HANDEDNESS_CATEGORY,0.0,classification,True
ADI_R_SOCIAL_TOTAL_A,SITE_ID,0.14179058276683715,classification,True
ADI_R_SOCIAL_TOTAL_A,FIQ_TEST_TYPE,0.08214912106569378,classification,True
ADI_R_SOCIAL_TOTAL_A,VIQ_TEST_TYPE,0.03414023994478148,classification,True
ADI_R_SOCIAL_TOTAL_A,PIQ_TEST_TYPE,0.030110756311161276,classification,True
ADI_R_SOCIAL_TOTAL_A,CURRENT_MED_STATUS,0.039995656828002324,classification,True
ADI_R_SOCIAL_TOTAL_A,qc_rater_1,0.019804491226970693,classification,True
ADI_R_SOCIAL_TOTAL_A,qc_anat_rater_2,0.0,classification,True
ADI_R_SOCIAL_TOTAL_A,qc_func_rater_2,0.12439214090846581,classification,True
ADI_R_SOCIAL_TOTAL_A,qc_anat_rater_3,0.0,classification,True
ADI_R_SOCIAL_TOTAL_A,qc_func_rater_3,0.030462809563445027,classification,True
ADI_R_SOCIAL_TOTAL_A,ID,0.03012323350512658,regression,True
ADI_R_SOCIAL_TOTAL_A,FILE_ID,0.0,classification,True
ADI_R_VERBAL_TOTAL_BV,DX_GROUP,0.9406307977736549,regression,True
ADI_R_VERBAL_TOTAL_BV,ADI_R_SOCIAL_TOTAL_A,0.44818770205000213,regression,True
ADI_R_VERBAL_TOTAL_BV,ADI_R_VERBAL_TOTAL_BV,1.0,predict_itself,True
ADI_R_VERBAL_TOTAL_BV,ADI_RRB_TOTAL_C,0.13495820255131707,regression,True
ADI_R_VERBAL_TOTAL_BV,ADI_R_RSRCH_RELIABLE,0.5414386424432713,regression,True
